,AirLine,Legroom,Seat comfort,"In-flight entertainment (WiFi, TV, movies)",Onboard Experience,Customer service,Value for money,Cleanliness,Check-in and boarding,Food and beverage
328,SalamAir,25,25,15,20,25,25,30,25,20
329,Samoa Airlines,40,35,20,40,35,35,40,40,25
330,San German Express,35,35,20,35,40,35,45,45,30
331,SANSA,30,30,20,35,30,35,40,35,20
332,Saratov/Ivolga [no longer operating],40,40,20,30,35,40,40,40,30
100,SAS,35,35,25,35,35,35,40,40,30
333,SATA - Azores Airlines,30,30,20,30,35,30,35,35,30
334,SATENA Colombia,30,30,20,35,35,35,40,35,30
101,Saudia Airlines,40,35,30,35,35,35,35,35,35
335,SaudiGulf Airlines,35,35,35,35,35,35,40,35,35
336,SCAT Airlines,30,30,20,25,30,30,30,30,30
337,Scoot,30,30,20,25,30,35,35,35,25
338,Seaborne Airlines,25,25,15,20,25,25,30,25,15
339,SereneAir,40,35,20,40,40,35,40,40,40
340,Sevenair/AeroVIP,35,35,20,50,45,40,45,45,25
341,Severstal Air Company,40,40,25,50,45,40,45,40,40
342,Shaheen Air International,30,35,20,35,40,35,35,40,35
343,Shandong Airlines,30,30,20,30,35,35,35,35,25
344,Shanghai Airlines,30,30,20,25,30,35,35,35,30
345,Sharp Airlines,30,35,20,40,45,35,40,50,15
346,Shenzhen Airlines,35,35,25,30,35,35,35,35,30
31,Shree,40,40,30,,45,50,45,50,40
