,AirLine,country,totalScore,reviews,excellent,veryGood,average,poor,terrible,
412,Passaredo Linhas A?reas,brazil,30,296,38,85,97,25,51,
413,PAWA Dominicana [no longer operating],dominica,25,122,32,16,10,8,56,
414,Peach Aviation, ,30,1515,192,494,378,165,286,
415,Pegas Fly,russia,30,281,62,48,55,33,83,
416,Pegasus Airlines,turkey,30,6446,1012,1574,1274,695,1892,
417,Penobscot Island Air, ,50,6,5,1,0,0,0,
418,People's Airline,austria,45,36,23,8,0,2,3,
419,Peruvian Airlines [no longer operating],peru,25,812,79,166,156,99,312,
420,Philippine Airlines (PAL), ,30,4941,1055,1437,886,497,1066,
421,Plus Ultra Lineas Aereas,spain,25,530,89,87,49,34,271,
422,PNG Air,guinea,30,26,3,6,7,2,8,
423,Pobeda,russia,30,3705,876,711,484,340,1295,
424,Porter Airlines,canada,35,1855,800,424,145,123,363,
425,Precision Air,tanzania,30,540,88,146,84,55,167,
426,Primera Air [no longer operating],denmark,30,1875,348,413,247,157,710,
427,Proflight Zambia,zambia,40,57,25,17,9,2,4,
428,Qantas,australia,40,19948,7448,6066,2995,1544,1896,
429,Qatar Airways,qatar,40,32205,17815,7239,2616,1279,3257,
430,QAZAQ AIR,kazakhstan,20,23,3,2,3,3,12,
431,Qeshm Airlines, ,35,65,12,18,21,4,10,
432,Qingdao Airlines,china,40,6,3,2,0,1,0,
433,Ravn Alaska, ,25,75,18,11,2,2,42,
434,REALtonga,tonga,25,27,3,6,5,3,10,
435,Red Wings,russia,30,624,158,133,97,54,182,
436,Regent Airways,bangladesh,35,130,13,48,44,14,11,
437,Regional Air,tanzania,35,7,1,3,1,1,1,
438,Regional Express Airlines,australia,40,592,294,130,39,25,104,
439,Rossiya Russian Airlines,russia,35,2707,923,786,441,285,272,
440,Royal Air Maroc,morocco,25,4883,845,1101,687,464,1786,
441,Royal Brunei Airlines,brunei darussalam,40,1078,471,349,110,48,100,
442,Royal Jordanian,jordan,30,2216,506,591,387,202,530,
443,Ruili Airlines,china,30,5,1,1,1,0,2,
444,RusLine,russia,25,192,36,36,16,13,91,
445,RwandAir,rwanda,35,526,168,169,78,30,81,
446,Ryanair,ireland,30,81606,12652,22811,17715,8627,19810,
447,S7 airlines,russia,35,4699,1766,1236,607,315,776,
448,Safarilink,kenya,40,64,34,18,5,3,4,
449,Safi Airways,afghanistan,40,8,2,3,3,0,0,
450,SalamAir,oman,20,188,21,25,18,8,116,
451,Samoa Airlines,samoa,30,54,15,11,11,2,15,
452,San German Express,colombia,30,15,5,3,2,0,5,
453,SANSA,costa rica,30,236,74,46,19,17,81,
